row_index,scenario,ground_truth,pred_label,confidence,max_consensus,high_consensus,model_reply,finish_reason,prompt_tokens,completion_tokens,total_tokens
6,"When I saw her naked I just wasn't attracted to her body, and while I liked her personality there was just 0 attraction whatsoever. I told her like an hour after ""sorry but I'm really not feeling this...",Author,,,0.75,True,"Sure! Please provide the situation you'd like me to evaluate, and I'll follow your instructions for classification.",stop,11891,4245,16136
9,"About a year ago I and my wife (white) bought a house and moved into one of LA's most rapidly gentrifying, majority Hispanic neighborhoods.

We've tried to be really respectful of some of the cultural...",Author,,,0.6875,False,Certainly! Please provide the specific situation you would like me to evaluate using the framework above.,stop,13995,4840,18835
10,When we first got divorced our son was 4. He was perfectly healthy and she got primary custody. I asked for a received every other weekend. The court ordered me to pay a set amount of child support a ...,Author,,,0.9585253456221198,True,Please provide the specific situation you would like me to evaluate.,stop,15574,4892,20466
16,"My coworker requests time off or asks the others to cover her shifts more often than she actually works. She hasn't covered my shifts even after I've covered several of hers, and I feel like I'm being...",Other,,,0.7142857142857143,True,"Of course! Please provide the specific situation you would like me to evaluate, and I will follow your instructions using the format you described.",stop,13675,4810,18485
19,"So, its early morning and I'm going to my parents to see my mom for half an hour, drop her card off and present and say hello. My little one who is 6 asked if she could come too, I said yes no problem...",Other,,,0.7962962962962963,True,"Certainly! Please provide the specific situation you'd like evaluated, and I’ll analyze it using your requested format.",stop,13310,4665,17975
20,"Background info: I have a condition known as ""Skin Hunger"" where the lack of affectionate, loving skin to skin contact begins to severely fuck with my mental and emotional state, making it next to imp...",Author,,,0.47619047619047616,False,Certainly! Please provide the situation you would like me to evaluate.,stop,13375,4383,17758
31,"So my girlfriend was apolosing today for re organising my room without asking me meaning I now had no idea where anything was anymore.
However this was reorganisation was about a month ago and she kep...",Everybody,,,0.5,False,"Of course! Please provide the situation you'd like me to evaluate, and I will follow the instructions as outlined.",stop,12793,4351,17144
33,TL;DR I don't think I should demand my husband should stop what he's enjoying to fulfil a previously offered favour to me. He thinks I should have made the demand instead of making alternative arrange...,Other,,,0.75,True,Of course! Please provide the situation you'd like me to evaluate.,stop,13077,3548,16625
40,My boyfriend of 3 years has gone on a beach vacation with his high school/college friends every summer for a few years. One of the families rents a 20 person house on the beach and they stay for a wee...,Author,,,0.6818181818181818,False,Sure! Please provide the specific situation you'd like me to evaluate using the above criteria.,stop,13337,4760,18097
46,So my wife developed some serious feelings for this guy years ago. I found out she is talking to him again after she said she wouldn't.   I got fed up with seeing his number showing up in my bill stat...,Everybody,,,0.6666666666666666,False,Certainly! Please provide the situation you would like me to evaluate.,stop,12369,4629,16998
55,"Let me do a tldr: because its really a long story. I (M) am against third wave feminism and all of the stuff that comes with it. I believe that women and men are equal in all qualities,but i think tha...",Author,,,0.6363636363636364,False,Please provide the specific situation you would like evaluated.,stop,12939,3905,16844
61,"I [21M] will be moving back to my mothers place temporarily next month. When I live at her place she likes to know what the balance on my bank account is, she wants to know if I can spare some money. ...",Other,,,0.8571428571428571,True,"Of course! Please provide the specific situation to be evaluated, and I will apply your requested format.",stop,13096,4760,17856
73,I don't work/barely work since we have 2 little kids and nobody to watch them/daycare is more expensive than what I would make full time. It's a great set up. He doesn't mind being the only one workin...,Other,,,0.7962962962962963,True,"Certainly! Please provide the specific situation you would like me to evaluate, and I will analyze it according to the criteria above.",stop,14566,4905,19471
77,"A few weeks ago I broke up with my gf on 10 months because she was very emotionally manipulative. I wasn’t able to do anything without her, and she would be very annoyed and angry with me for doing an...",Other,,,1.0,True,Please provide the situation you would like evaluated.,stop,12290,4024,16314
93,"The story is that my wife's childhood friend (acquaintance now) is breaking up with her boyfriend and father of her 9 month old daughter.

He is not a good guy and is constantly having problems with t...",Other,,,0.8888888888888888,True,Sure! Please provide the situation for #12 so I can evaluate it according to your instructions.,stop,16496,4899,21395
97,"My dad left me, my sister, and my mom, when I was 9 (sister too, we're twins.) He came for a few visits and then disappeared. Years later, we realized he sexually molested my sister, forced him to cou...",Other,,,0.5,False,Of course! Please provide the situation you would like me to evaluate.,stop,13977,4806,18783
